match_id,inning_name,bowler_id,bowler_name,overs,maidens,runs_conceded,wickets,no_balls,wides,economy
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,2190c28d-1712-4fd2-ae44-9ac54319fc21,Josh Hazlewood,4.0,0,22,2,0,0,5.5
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,f061b5fc-cd70-480c-86aa-45c7828e739c,Yash Dayal,3.0,0,25,1,0,0,8.3
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,a1f7a1f3-f19c-43d2-bcd7-b4bae22f5842,Rasikh Dar Salam,3.0,0,35,1,0,2,11.7
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,81c09c1b-1b1d-4e87-9eaa-d7d0a89a6159,Krunal Pandya,4.0,0,29,3,0,1,7.2
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,2bf2258f-f35e-4831-884e-f88ef46968f5,Suyash Sharma,4.0,0,47,1,0,1,11.8
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders Inning 1,d1c0a448-6ee6-473a-90a2-e6a486698a8a,Liam Livingstone,2.0,0,14,0,0,0,7.0
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,82de5824-b29b-4737-9e9d-44f5796ef227,Vaibhav Arora,3.0,0,42,1,0,1,14.0
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,0284af4f-d4eb-4894-bacc-a468c1020951,Spencer Johnson,2.2,0,31,0,0,0,13.3
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,702254aa-2764-4fe4-b28e-20336a0ab069,Varun Chakaravarthy,4.0,0,43,1,0,0,10.8
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,225ae9ea-dba6-456d-a64b-2dbd7476c8f0,Harshit Rana,3.0,0,32,0,0,0,10.7
cacf2d34-41b8-41dd-91ed-5183d880084c,Royal Challengers Bengaluru Inning 1,ef2e9c01-41f2-4349-a945-45d8b11dbd19,Sunil Narine,4.0,0,27,1,0,0,6.8
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,92045c02-25e9-4980-a58f-daedd067d1ce,Fazalhaq Farooqi,3.0,0,49,0,0,0,16.3
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,7e09eef0-d886-4997-b568-5fd4e0dfbbec,Maheesh Theekshana,4.0,0,52,2,2,3,13.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,19758cd7-4cce-47d8-b1fe-5975609de802,Jofra Archer,4.0,0,76,0,1,2,19.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,3f18b02d-0e1a-49be-aec4-c2fc11503505,Sandeep Sharma,4.0,0,51,1,0,0,12.8
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,64360dd6-a8db-47ae-8837-638a5bbbaae6,Nitish Rana,1.0,0,9,0,0,0,9.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad Inning 1,f3876b65-0643-49df-9255-4a06dd3fa051,Tushar Deshpande,4.0,0,44,3,0,5,11.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,11d06633-aa20-469c-8fbb-676a1ae33eed,Mohammed Shami,3.0,0,33,1,0,1,11.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,60610403-b20d-41b5-a1f9-ca5981d192e1,Simarjeet Singh,3.0,0,46,2,1,2,15.3
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,13b3d56e-0fba-4d31-a174-d211211404e2,Pat Cummins,4.0,0,60,0,1,1,15.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,83fe6ab6-d63c-420e-9416-a93d59a9a964,Abhishek Sharma,2.0,0,17,0,0,0,8.5
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,1971093d-b87b-43db-8b1d-b2dcc8e68617,Adam Zampa,4.0,0,48,1,0,1,12.0
91b007f3-c0af-493f-808a-3f4ae2d66e33,Rajasthan Royals Inning 1,15bccb4f-8c3c-4da6-acd9-551782278bfd,Harshal Patel,4.0,0,34,2,0,2,8.5
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Mumbai Indians Inning 1,8df6183b-1c95-46d2-85c0-e185792d03f1,Khaleel Ahmed,4.0,0,29,3,1,0,7.2
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Mumbai Indians Inning 1,45613012-5c4f-4a7a-a1c4-d9827939b2bf,Sam Curran,1.0,0,13,0,0,0,13.0
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Mumbai Indians Inning 1,6731db45-8132-49c6-8fcb-f59258d15082,Nathan Ellis,4.0,0,38,1,0,1,9.5
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Mumbai Indians Inning 1,0068c9d8-be69-46b9-bbef-62c74e480781,Ravichandran Ashwin,4.0,0,31,1,0,0,7.8
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Mumbai Indians Inning 1,81b446e1-bfea-45a7-a15e-062b8157a323,Ravindra Jadeja,3.0,0,21,0,0,0,7.0
